"variable","fred_md","fred_qd"
"RPI",5,
"W875RX1",5,
"DPCERA3M086SBEA",5,
"CMRMTSPLx",5,5
"RETAILx",5,
"INDPRO",5,5
"IPFPNSS",5,
"IPFINAL",5,5
"IPCONGD",5,5
"IPDCONGD",5,5
"IPNCONGD",5,5
"IPBUSEQ",5,5
"IPMAT",5,5
"IPDMAT",5,5
"IPNMAT",5,5
"IPMANSICS",5,5
"IPB51222S",5,5
"IPFUELS",5,5
"CUMFNS",2,1
"HWI",2,
"HWIURATIO",2,
"CLF16OV",5,
"CE16OV",5,5
"UNRATE",2,2
"UEMPMEAN",2,2
"UEMPLT5",5,5
"UEMP5TO14",5,5
"UEMP15OV",5,
"UEMP15T26",5,5
"UEMP27OV",5,5
"CLAIMSx",5,5
"PAYEMS",5,5
"USGOOD",5,5
"CES1021000001",5,
"USCONS",5,5
"MANEMP",5,5
"DMANEMP",5,5
"NDMANEMP",5,5
"SRVPRD",5,5
"USTPU",5,5
"USWTRADE",5,5
"USTRADE",5,5
"USFIRE",5,5
"USGOVT",5,5
"CES0600000007",1,2
"AWOTMAN",2,2
"AWHMAN",1,1
"HOUST",4,5
"HOUSTNE",4,5
"HOUSTMW",4,5
"HOUSTS",4,5
"HOUSTW",4,5
"PERMIT",4,5
"PERMITNE",4,5
"PERMITMW",4,5
"PERMITS",4,5
"PERMITW",4,5
"ACOGNO",5,
"AMDMNOx",5,5
"ANDENOx",5,5
"AMDMUOx",5,5
"BUSINVx",5,5
"ISRATIOx",2,2
"M1SL",6,
"M2SL",6,
"M2REAL",5,5
"BOGMBASE",6,
"TOTRESNS",6,6
"NONBORRES",7,7
"BUSLOANS",6,
"REALLN",6,
"NONREVSL",6,
"CONSPI",2,
"SP500",5,5
"SPINDUST",5,5
"SPDIVYIELD",2,2
"SPPERATIO",5,5
"FEDFUNDS",2,2
"CP3Mx",2,
"TB3MS",2,2
"TB6MS",2,2
"GS1",2,2
"GS5",2,2
"GS10",2,2
"AAA",2,2
"BAA",2,2
"COMPAPFFx",1,
"TB3SMFFM",1,1
"TB6SMFFM",1,
"T1YFFM",1,
"T5YFFM",1,1
"T10YFFM",1,
"AAAFFM",1,1
"BAAFFM",1,
"TWEXMMTH",5,5
"EXSZUSx",5,5
"EXJPUSx",5,5
"EXUSUKx",5,5
"EXCAUSx",5,5
"WPSFD49207",6,6
"WPSFD49502",6,6
"WPSID61",6,6
"WPSID62",6,6
"OILPRICEx",6,5
"PPICMM",6,6
"CPIAUCSL",6,6
"CPIAPPSL",6,6
"CPITRNSL",6,6
"CPIMEDSL",6,6
"CUSR0000SAC",6,6
"CUSR0000SAD",6,6
"CUSR0000SAS",6,6
"CPIULFSL",6,6
"CUSR0000SA0L2",6,6
"CUSR0000SA0L5",6,6
"PCEPI",6,
"DDURRG3M086SBEA",6,
"DNDGRG3M086SBEA",6,
"DSERRG3M086SBEA",6,
"CES0600000008",6,6
"CES2000000008",6,
"CES3000000008",6,
"UMCSENTx",2,1
"MZMSL",6,
"DTCOLNVHFNM",6,6
"DTCTHFNM",6,6
"INVEST",6,6
"VXOCLSx",1,1
"GDPC1",,5
"PCECC96",,5
"PCDGx",,5
"PCESVx",,5
"PCNDx",,5
"GPDIC1",,5
"FPIx",,5
"Y033RC1Q027SBEAx",,5
"PNFIx",,5
"PRFIx",,5
"A014RE1Q156NBEA",,1
"GCEC1",,5
"A823RL1Q225SBEA",,1
"FGRECPTx",,5
"SLCEx",,5
"EXPGSC1",,5
"IMPGSC1",,5
"DPIC96",,5
"OUTNFB",,5
"OUTBS",,5
"OUTMS",,5
"IPB51110SQ",,5
"IPB51220SQ",,5
"TCU",,1
"USPRIV",,5
"USEHS",,5
"USINFO",,5
"USPBS",,5
"USLAH",,5
"USSERV",,5
"USMINE",,5
"CES9091000001",,5
"CES9092000001",,5
"CES9093000001",,5
"CIVPART",,2
"UNRATESTx",,2
"UNRATELTx",,2
"LNS14000012",,2
"LNS14000025",,2
"LNS14000026",,2
"LNS13023621",,5
"LNS13023557",,5
"LNS13023705",,5
"LNS13023569",,5
"LNS12032194",,5
"HOABS",,5
"HOAMS",,5
"HOANBS",,5
"AWHNONAG",,2
"HWIx",,1
"HOUST5F",,5
"RSAFSx",,5
"ACOGNOx",,5
"INVCQRMTSPL",,5
"PCECTPI",,6
"PCEPILFE",,6
"GDPCTPI",,6
"GPDICTPI",,6
"IPDBS",,6
"DGDSRG3Q086SBEA",,6
"DDURRG3Q086SBEA",,6
"DSERRG3Q086SBEA",,6
"DNDGRG3Q086SBEA",,6
"DHCERG3Q086SBEA",,6
"DMOTRG3Q086SBEA",,6
"DFDHRG3Q086SBEA",,6
"DREQRG3Q086SBEA",,6
"DODGRG3Q086SBEA",,6
"DFXARG3Q086SBEA",,6
"DCLORG3Q086SBEA",,6
"DGOERG3Q086SBEA",,6
"DONGRG3Q086SBEA",,6
"DHUTRG3Q086SBEA",,6
"DHLCRG3Q086SBEA",,6
"DTRSRG3Q086SBEA",,6
"DRCARG3Q086SBEA",,6
"DFSARG3Q086SBEA",,6
"DIFSRG3Q086SBEA",,6
"DOTSRG3Q086SBEA",,6
"CPILFESL",,6
"PPIACO",,6
"WPSFD4111",,6
"PPIIDC",,6
"WPU0531",,5
"WPU0561",,5
"AHETPIx",,5
"CES2000000008x",,5
"CES3000000008x",,5
"COMPRMS",,5
"COMPRNFB",,5
"RCPHBS",,5
"OPHMFG",,5
"OPHNFB",,5
"OPHPBS",,5
"ULCBS",,5
"ULCMFG",,5
"ULCNFB",,5
"UNLPNBS",,5
"MORTGAGE30US",,2
"BAA10YM",,1
"MORTG10YRx",,1
"TB6M3Mx",,1
"GS1TB3Mx",,1
"GS10TB3Mx",,1
"CPF3MTB3Mx",,1
"BOGMBASEREALx",,5
"IMFSLx",,5
"M1REAL",,5
"MZMREAL",,5
"BUSLOANSx",,5
"CONSUMERx",,5
"NONREVSLx",,5
"REALLNx",,5
"REVOLSLx",,5
"TOTALSLx",,5
"DRIWCIL",,1
"TABSHNOx",,5
"TLBSHNOx",,5
"LIABPIx",,5
"TNWBSHNOx",,5
"NWPIx",,1
"TARESAx",,5
"HNOREMQ027Sx",,5
"TFAABSHNOx",,5
"USSTHPI",,5
"SPCS10RSA",,5
"SPCS20RSA",,5
"EXUSEU",,5
"USEPUINDXM",,2
"B020RE1Q156NBEA",,2
"B021RE1Q156NBEA",,2
"GFDEGDQ188S",,2
"GFDEBTNx",,2
"HWIURATIOx",,2
"CONSPIx",,2
"CP3M",,2
"COMPAPFF",,1
"NIKKEI225",,5
"NASDAQCOM",,5
"CUSR0000SEHC",,6
"TLBSNNCBx",,5
"TLBSNNCBBDIx",,1
"TTAABSNNCBx",,5
"TNWMVBSNNCBx",,5
"TNWMVBSNNCBBDIx",,2
"TLBSNNBx",,5
"TLBSNNBBDIx",,1
"TABSNNBx",,5
"TNWBSNNBx",,5
"TNWBSNNBBDIx",,2
"CNCFx",,5
